file,method,metric,origin,detection_time,error,threshold
linear_linear1_ar4_abrupt_05.csv,Chronos-Bolt Base + error detector,mae,5536,5560,9.136030717727467,6.377071382590584
linear_linear1_ar4_abrupt_05.csv,Chronos-Bolt Base + error detector,mae,5776,5800,5.97568006560353,5.559182300734037
linear_linear1_ar4_abrupt_05.csv,Chronos-Bolt Base + error detector,mae,6016,6040,11.06850451055242,7.775554111247909
linear_linear1_ar4_abrupt_05.csv,Chronos-Bolt Base + error detector,mae,7480,7504,16.64966466981804,15.993785212686127
linear_linear1_ar4_abrupt_05.csv,Chronos-Bolt Base + error detector,mae,8344,8368,17.880505439843205,12.760806410547893
linear_linear1_ar4_abrupt_05.csv,Chronos-Bolt Base + error detector,mae,10672,10696,15.651373930890808,13.924326274760038
linear_linear1_ar4_abrupt_05.csv,Chronos-Bolt Base + error detector,mae,11920,11944,16.27380973150908,14.671675641329767
linear_linear1_ar4_abrupt_06.csv,Chronos-Bolt Base + error detector,mae,1816,1840,6.54692751745785,4.445738544390574
linear_linear1_ar4_abrupt_06.csv,Chronos-Bolt Base + error detector,mae,2752,2776,5.63274323006405,4.298448010713921
linear_linear1_ar4_abrupt_06.csv,Chronos-Bolt Base + error detector,mae,4000,4024,7.4588836884758605,6.535407643744151
linear_linear1_ar4_abrupt_06.csv,Chronos-Bolt Base + error detector,mae,4240,4264,8.227869838665477,5.621297497125245
linear_linear1_ar4_abrupt_06.csv,Chronos-Bolt Base + error detector,mae,5080,5104,8.401657467429027,7.748396740602728
linear_linear1_ar4_abrupt_06.csv,Chronos-Bolt Base + error detector,mae,5992,6016,9.12108004459675,7.221139001225263
linear_linear1_ar4_abrupt_06.csv,Chronos-Bolt Base + error detector,mae,6280,6304,11.128616038544957,7.93514115510825
linear_linear1_ar4_abrupt_06.csv,Chronos-Bolt Base + error detector,mae,6592,6616,18.209240538476028,11.129485393428528
linear_linear1_ar4_abrupt_06.csv,Chronos-Bolt Base + error detector,mae,7048,7072,31.816675180096933,16.0910857085532
linear_linear1_ar4_abrupt_06.csv,Chronos-Bolt Base + error detector,mae,7696,7720,14.658207445703395,12.822255846326279
linear_linear1_ar4_abrupt_06.csv,Chronos-Bolt Base + error detector,mae,7960,7984,18.13415028240258,13.125538527717929
linear_linear1_ar4_abrupt_07.csv,Chronos-Bolt Base + error detector,mae,1960,1984,4.338086886105104,3.4097608203764826
linear_linear1_ar4_abrupt_07.csv,Chronos-Bolt Base + error detector,mae,2296,2320,5.011771899580707,3.6056237331143115
linear_linear1_ar4_abrupt_07.csv,Chronos-Bolt Base + error detector,mae,3688,3712,7.1378605115717875,6.9261397056195335
linear_linear1_ar4_abrupt_07.csv,Chronos-Bolt Base + error detector,mae,5680,5704,6.872082188551521,6.22626784838965
linear_linear1_ar4_abrupt_07.csv,Chronos-Bolt Base + error detector,mae,6016,6040,9.479447300339922,7.488836039118469
linear_linear1_ar4_abrupt_07.csv,Chronos-Bolt Base + error detector,mae,6280,6304,14.01389237773923,10.259244065911677
linear_linear1_ar4_abrupt_07.csv,Chronos-Bolt Base + error detector,mae,6568,6592,18.707273545399584,13.882699814359345
linear_linear1_ar4_abrupt_07.csv,Chronos-Bolt Base + error detector,mae,7192,7216,20.590768887865853,18.808546927798265
linear_linear1_ar4_abrupt_07.csv,Chronos-Bolt Base + error detector,mae,7648,7672,19.20851530639816,17.151390801301943
linear_linear1_ar4_abrupt_07.csv,Chronos-Bolt Base + error detector,mae,7936,7960,23.669981088256833,19.636515679646912
linear_linear1_ar4_abrupt_07.csv,Chronos-Bolt Base + error detector,mae,8512,8536,21.355985953511077,18.760346080406777
linear_linear1_ar4_abrupt_07.csv,Chronos-Bolt Base + error detector,mae,8776,8800,21.566284103238193,14.798959273871153
linear_linear1_ar4_abrupt_07.csv,Chronos-Bolt Base + error detector,mae,9376,9400,14.838505393406964,12.136657511322053
linear_linear1_ar4_abrupt_07.csv,Chronos-Bolt Base + error detector,mae,10480,10504,20.59793877559993,15.776564319791342
linear_linear1_ar4_abrupt_08.csv,Chronos-Bolt Base + error detector,mae,1792,1816,4.999622251789015,4.793924178316312
linear_linear1_ar4_abrupt_08.csv,Chronos-Bolt Base + error detector,mae,2368,2392,4.653147768405684,4.386073758628953
linear_linear1_ar4_abrupt_08.csv,Chronos-Bolt Base + error detector,mae,2632,2656,4.196909228825846,4.118645930507255
linear_linear1_ar4_abrupt_08.csv,Chronos-Bolt Base + error detector,mae,3064,3088,5.0678468587971315,4.65388394662358
linear_linear1_ar4_abrupt_08.csv,Chronos-Bolt Base + error detector,mae,5536,5560,7.362480702683167,5.591894220211549
linear_linear1_ar4_abrupt_08.csv,Chronos-Bolt Base + error detector,mae,5992,6016,11.039130106159414,7.479263303611344
linear_linear1_ar4_abrupt_08.csv,Chronos-Bolt Base + error detector,mae,6304,6328,12.05356575598605,9.286543889320217
linear_linear1_ar4_abrupt_08.csv,Chronos-Bolt Base + error detector,mae,6568,6592,28.37100457315209,13.707885319473355
linear_linear1_ar4_abrupt_08.csv,Chronos-Bolt Base + error detector,mae,6856,6880,22.138673185225773,15.336032547163393
linear_linear1_ar4_abrupt_08.csv,Chronos-Bolt Base + error detector,mae,8704,8728,18.12872528721304,15.713203115794704
linear_linear1_ar4_abrupt_08.csv,Chronos-Bolt Base + error detector,mae,9088,9112,16.269227061175396,15.885565878999603
linear_linear1_ar4_abrupt_08.csv,Chronos-Bolt Base + error detector,mae,9568,9592,14.990350317224127,13.852684490019207
linear_linear1_ar4_abrupt_09.csv,Chronos-Bolt Base + error detector,mae,2248,2272,5.511854850649658,4.683003632931673
linear_linear1_ar4_abrupt_09.csv,Chronos-Bolt Base + error detector,mae,3376,3400,6.422881195895662,6.239830405491501
linear_linear1_ar4_abrupt_09.csv,Chronos-Bolt Base + error detector,mae,5032,5056,6.896152837826054,6.155979581942637
linear_linear1_ar4_abrupt_09.csv,Chronos-Bolt Base + error detector,mae,5728,5752,10.689329059415384,7.5718270231310765
linear_linear1_ar4_abrupt_09.csv,Chronos-Bolt Base + error detector,mae,6040,6064,19.908419945104153,7.169965731703854
linear_linear1_ar4_abrupt_09.csv,Chronos-Bolt Base + error detector,mae,6328,6352,18.915419251555374,9.668096648015851
linear_linear1_ar4_abrupt_09.csv,Chronos-Bolt Base + error detector,mae,7336,7360,17.399219859912844,15.451950977013114
linear_linear1_ar4_abrupt_09.csv,Chronos-Bolt Base + error detector,mae,8800,8824,16.532685092711848,12.301388734404872
linear_linear1_ar4_abrupt_09.csv,Chronos-Bolt Base + error detector,mae,9136,9160,15.181903681011931,15.099758041819623
linear_linear1_ar4_abrupt_09.csv,Chronos-Bolt Base + error detector,mae,10144,10168,18.653230322762685,18.381785717757417
linear_linear1_ar4_abrupt_10.csv,Chronos-Bolt Base + error detector,mae,2176,2200,5.4649418476698175,5.0284141664477
linear_linear1_ar4_abrupt_10.csv,Chronos-Bolt Base + error detector,mae,3136,3160,6.887041780203671,5.734869548591485
linear_linear1_ar4_abrupt_10.csv,Chronos-Bolt Base + error detector,mae,4144,4168,7.098288634020984,6.538779544937222
linear_linear1_ar4_abrupt_10.csv,Chronos-Bolt Base + error detector,mae,5992,6016,14.659515173539939,7.1836458703877195
linear_linear1_ar4_abrupt_10.csv,Chronos-Bolt Base + error detector,mae,6232,6256,11.249912329325376,9.572868656050993
linear_linear1_ar4_abrupt_10.csv,Chronos-Bolt Base + error detector,mae,6880,6904,13.42328848362832,11.104586644649153
linear_linear1_ar4_abrupt_10.csv,Chronos-Bolt Base + error detector,mae,7384,7408,12.263366462384065,11.997610660699639
linear_linear1_ar4_abrupt_10.csv,Chronos-Bolt Base + error detector,mae,7624,7648,18.65490324915295,13.927228359279637
linear_linear1_ar4_abrupt_10.csv,Chronos-Bolt Base + error detector,mae,8248,8272,18.427381123635346,14.566358782077689
linear_linear1_ar4_abrupt_10.csv,Chronos-Bolt Base + error detector,mae,8704,8728,14.721031649637544,11.065230427794159
linear_linear1_ar4_abrupt_10.csv,Chronos-Bolt Base + error detector,mae,9448,9472,16.15266548261746,14.861427231533971
linear_linear1_ar4_abrupt_11.csv,Chronos-Bolt Base + error detector,mae,1816,1840,6.420336323420005,4.882980763856374
linear_linear1_ar4_abrupt_11.csv,Chronos-Bolt Base + error detector,mae,2080,2104,5.606205481091866,5.386607969741441
linear_linear1_ar4_abrupt_11.csv,Chronos-Bolt Base + error detector,mae,5560,5584,5.987736795505668,5.9052882904327735
linear_linear1_ar4_abrupt_11.csv,Chronos-Bolt Base + error detector,mae,5992,6016,10.406020400773155,6.960433342437366
linear_linear1_ar4_abrupt_11.csv,Chronos-Bolt Base + error detector,mae,6328,6352,11.017311461787353,8.526957320525039
linear_linear1_ar4_abrupt_11.csv,Chronos-Bolt Base + error detector,mae,7168,7192,13.561702735152826,12.093697734598525
linear_linear1_ar4_abrupt_11.csv,Chronos-Bolt Base + error detector,mae,7720,7744,16.86988277232872,13.842502204316833
linear_linear1_ar4_abrupt_11.csv,Chronos-Bolt Base + error detector,mae,8152,8176,16.117772908842838,15.992854488043735
linear_linear1_ar4_abrupt_11.csv,Chronos-Bolt Base + error detector,mae,11488,11512,14.72513928025568,13.516099904427223
linear_linear1_ar4_abrupt_12.csv,Chronos-Bolt Base + error detector,mae,2272,2296,3.2595226964743844,3.2151820438149126
linear_linear1_ar4_abrupt_12.csv,Chronos-Bolt Base + error detector,mae,2944,2968,6.763114668845784,4.9614373029864955
linear_linear1_ar4_abrupt_12.csv,Chronos-Bolt Base + error detector,mae,3544,3568,7.781422703448321,7.1813370128766
linear_linear1_ar4_abrupt_12.csv,Chronos-Bolt Base + error detector,mae,6040,6064,10.198974620589455,7.205983077034395
linear_linear1_ar4_abrupt_12.csv,Chronos-Bolt Base + error detector,mae,6304,6328,20.930722080632407,9.310865562286068
linear_linear1_ar4_abrupt_12.csv,Chronos-Bolt Base + error detector,mae,6544,6568,21.922470666626324,15.459035614719964
linear_linear1_ar4_abrupt_12.csv,Chronos-Bolt Base + error detector,mae,7960,7984,17.742998052132823,14.500874332181798
linear_linear1_ar4_abrupt_13.csv,Chronos-Bolt Base + error detector,mae,2848,2872,4.502617457768427,4.184741309094545
linear_linear1_ar4_abrupt_13.csv,Chronos-Bolt Base + error detector,mae,5080,5104,6.912638754551452,6.809408874185557
