file,method,erro_pre_drift,recovery_time
linear_linear1_ar4_gradual_13.csv,Chronos-Bolt Base,3.838220956193976,16.0
linear_linear1_ar4_gradual_13.csv,FEDD+ELM,18.603823227937134,16.0
linear_linear1_ar4_gradual_14.csv,Chronos-Bolt Base,3.7630114194656104,16.0
linear_linear1_ar4_gradual_14.csv,FEDD+ELM,48.41636928427018,16.0
linear_linear1_ar4_gradual_15.csv,Chronos-Bolt Base,3.2866028952538366,16.0
linear_linear1_ar4_gradual_15.csv,FEDD+ELM,38.97325907641624,16.0
linear_linear1_ar4_gradual_16.csv,Chronos-Bolt Base,4.082109277438971,16.0
linear_linear1_ar4_gradual_16.csv,FEDD+ELM,30.857097144363088,88.0
linear_linear1_ar4_gradual_17.csv,Chronos-Bolt Base,3.482495156962539,16.0
linear_linear1_ar4_gradual_17.csv,FEDD+ELM,5.73031441093846,40.0
linear_linear1_ar4_gradual_18.csv,Chronos-Bolt Base,3.6063680217507246,16.0
linear_linear1_ar4_gradual_18.csv,FEDD+ELM,21.779796213277386,16.0
linear_linear1_ar4_gradual_19.csv,Chronos-Bolt Base,3.874864661732091,16.0
linear_linear1_ar4_gradual_19.csv,FEDD+ELM,26.94531130797138,160.0
linear_linear1_ar4_gradual_20.csv,Chronos-Bolt Base,3.5906626222150315,40.0
linear_linear1_ar4_gradual_20.csv,FEDD+ELM,6.57662617906283,160.0
linear_linear2_ar6_abrupt_01.csv,Chronos-Bolt Base,7.9622949946480635,16.0
linear_linear2_ar6_abrupt_01.csv,FEDD+ELM,162.44873624881558,184.0
linear_linear2_ar6_abrupt_02.csv,Chronos-Bolt Base,6.927287317059363,88.0
linear_linear2_ar6_abrupt_02.csv,FEDD+ELM,309.8058645143782,184.0
linear_linear2_ar6_abrupt_03.csv,Chronos-Bolt Base,8.04897683519911,16.0
linear_linear2_ar6_abrupt_03.csv,FEDD+ELM,1052.2161851703106,16.0
